ID,Reason for absence,Month of absence,Day of the week,Seasons,Transportation expense,Distance from Residence to Work,Service time,Age,Work load Average/day ,Hit target,Disciplinary failure,Education,Son,Social drinker,Social smoker,Pet,Weight,Height,Body mass index,Absent
00300,1,10,4,4,179,26,9,30,"265,017",88,0,3,0,0,0,0,56,171,19,1
00301,0,10,4,4,235,20,13,43,"265,017",88,1,1,1,1,0,0,106,167,38,0
00302,19,10,5,4,289,36,13,33,"265,017",88,0,1,2,1,0,1,90,172,30,1
00303,28,10,6,4,260,50,11,36,"265,017",88,0,1,4,1,0,0,65,168,23,1
00304,0,10,6,4,235,20,13,43,"265,017",88,1,1,1,1,0,0,106,167,38,0
00305,23,10,2,4,235,20,13,43,"265,017",88,0,1,1,1,0,0,106,167,38,1
00306,23,10,2,4,235,20,13,43,"265,017",88,0,1,1,1,0,0,106,167,38,1
00307,28,10,3,4,118,13,18,50,"265,017",88,0,1,1,1,0,0,98,178,31,0
00308,28,10,3,4,291,31,12,40,"265,017",88,0,1,1,1,0,1,73,171,25,1
00309,23,10,5,4,179,26,9,30,"265,017",88,0,3,0,0,0,0,56,171,19,1
00310,28,10,5,4,118,13,18,50,"265,017",88,0,1,1,1,0,0,98,178,31,0
00311,10,10,2,4,361,52,3,28,"265,017",88,0,1,1,1,0,4,80,172,27,1
00312,0,10,3,4,260,50,11,36,"265,017",88,1,1,4,1,0,0,65,168,23,0
00313,0,10,3,4,291,31,12,40,"265,017",88,1,1,1,1,0,1,73,171,25,0
00314,0,10,3,4,157,27,6,29,"265,017",88,1,1,0,1,1,0,75,185,22,0
00315,1,10,4,4,179,26,9,30,"265,017",88,0,3,0,0,0,0,56,171,19,1
00316,7,10,4,4,179,26,9,30,"265,017",88,0,3,0,0,0,0,56,171,19,1
00317,23,10,5,4,118,13,18,50,"265,017",88,0,1,1,1,0,0,98,178,31,0
00318,11,11,2,4,118,10,10,37,"284,031",97,0,1,0,0,0,0,83,172,28,1
00319,23,11,2,4,248,25,14,47,"284,031",97,0,1,2,0,0,1,86,165,32,1
00320,6,11,3,4,179,51,18,38,"284,031",97,0,1,0,1,0,0,89,170,31,1
00321,28,11,6,4,260,50,11,36,"284,031",97,0,1,4,1,0,0,65,168,23,1
00322,23,11,2,4,291,31,12,40,"284,031",97,0,1,1,1,0,1,73,171,25,0
00323,1,11,2,4,378,49,11,36,"284,031",97,0,1,2,0,1,4,65,174,21,1
00324,11,11,2,4,155,12,14,34,"284,031",97,0,1,2,1,0,0,95,196,25,1
00325,26,11,2,4,235,20,13,43,"284,031",97,0,1,1,1,0,0,106,167,38,1
00326,0,11,3,4,330,16,4,28,"284,031",97,1,2,0,0,0,0,84,182,25,0
00327,18,11,4,4,235,11,14,37,"284,031",97,0,3,1,0,0,1,88,172,29,0
00328,11,11,4,4,118,10,10,37,"284,031",97,0,1,0,0,0,0,83,172,28,1
00329,25,11,5,4,235,11,14,37,"284,031",97,0,3,1,0,0,1,88,172,29,1
00330,28,11,5,4,179,51,18,38,"284,031",97,0,1,0,1,0,0,89,170,31,1
00331,13,11,6,4,246,25,16,41,"284,031",97,0,1,0,1,0,0,67,170,23,1
00332,12,11,6,4,291,31,12,40,"284,031",97,0,1,1,1,0,1,73,171,25,1
00333,13,11,2,4,246,25,16,41,"284,031",97,0,1,0,1,0,0,67,170,23,1
00334,28,11,3,4,179,51,18,38,"284,031",97,0,1,0,1,0,0,89,170,31,0
00335,10,11,4,4,260,50,11,36,"284,031",97,0,1,4,1,0,0,65,168,23,1
00336,15,11,6,4,260,50,11,36,"284,031",97,0,1,4,1,0,0,65,168,23,1
00337,0,11,6,4,378,49,11,36,"284,031",97,1,1,2,0,1,4,65,174,21,0
00338,0,11,3,4,279,5,14,39,"284,031",97,1,1,2,1,1,0,68,168,24,0
00339,23,11,5,4,179,51,18,38,"284,031",97,0,1,0,1,0,0,89,170,31,0
00340,12,12,2,4,225,26,9,28,"236,629",93,0,1,1,0,0,2,69,169,24,1
00341,28,12,2,4,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,1
00342,28,12,2,4,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,0
00343,23,12,2,4,235,11,14,37,"236,629",93,0,3,1,0,0,1,88,172,29,1
00344,28,12,3,4,118,13,18,50,"236,629",93,0,1,1,1,0,0,98,178,31,0
00345,28,12,6,4,260,50,11,36,"236,629",93,0,1,4,1,0,0,65,168,23,1
00346,4,12,5,4,246,25,16,41,"236,629",93,0,1,0,1,0,0,67,170,23,1
00347,28,12,5,4,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,0
00348,28,12,6,4,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,0
00349,23,12,3,4,179,26,9,30,"236,629",93,0,3,0,0,0,0,56,171,19,0
00350,25,12,3,4,118,10,10,37,"236,629",93,0,1,0,0,0,0,83,172,28,1
00351,25,12,5,4,235,11,14,37,"236,629",93,0,3,1,0,0,1,88,172,29,1
00352,28,12,6,4,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,0
00353,13,12,3,2,235,20,13,43,"236,629",93,0,1,1,1,0,0,106,167,38,1
00354,14,12,3,2,235,11,14,37,"236,629",93,0,3,1,0,0,1,88,172,29,1
00355,26,12,4,2,260,50,11,36,"236,629",93,0,1,4,1,0,0,65,168,23,1
00356,28,12,2,2,157,27,6,29,"236,629",93,0,1,0,1,1,0,75,185,22,1
00357,28,12,2,2,179,51,18,38,"236,629",93,0,1,0,1,0,0,89,170,31,1
00358,19,12,2,2,289,36,13,33,"236,629",93,0,1,2,1,0,1,90,172,30,1
00359,23,1,4,2,225,26,9,28,"330,061",100,0,1,1,0,0,2,69,169,24,1
00360,19,1,2,2,118,10,10,37,"330,061",100,0,1,0,0,0,0,83,172,28,1
00361,23,1,2,2,155,12,14,34,"330,061",100,0,1,2,1,0,0,95,196,25,1
00362,13,1,3,2,235,11,14,37,"330,061",100,0,3,1,0,0,1,88,172,29,0
00363,23,1,3,2,155,12,14,34,"330,061",100,0,1,2,1,0,0,95,196,25,1
00364,26,1,2,2,289,36,13,33,"330,061",100,0,1,2,1,0,1,90,172,30,1
00365,3,1,4,2,291,31,12,40,"330,061",100,0,1,1,1,0,1,73,171,25,1
00366,26,1,2,2,235,20,13,43,"330,061",100,0,1,1,1,0,0,106,167,38,1
00367,26,1,2,2,118,13,18,50,"330,061",100,0,1,1,1,0,0,98,178,31,1
00368,28,1,4,2,179,51,18,38,"330,061",100,0,1,0,1,0,0,89,170,31,0
00369,28,1,6,2,179,51,18,38,"330,061",100,0,1,0,1,0,0,89,170,31,0
00370,28,2,3,2,118,10,10,37,"251,818",96,0,1,0,0,0,0,83,172,28,1
00371,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,1
00372,7,2,4,2,225,26,9,28,"251,818",96,0,1,1,0,0,2,69,169,24,0
00373,22,2,6,2,289,36,13,33,"251,818",96,0,1,2,1,0,1,90,172,30,1
00374,28,2,6,2,260,50,11,36,"251,818",96,0,1,4,1,0,0,65,168,23,1
00375,23,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,1
00376,27,2,2,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,1
00377,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,1
00378,10,2,5,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,1
00379,26,2,5,2,246,25,16,41,"251,818",96,0,1,0,1,0,0,67,170,23,1
00380,27,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,1
00381,22,2,2,2,189,29,13,33,"251,818",96,0,1,2,0,0,2,69,167,25,1
00382,27,2,2,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,1
00383,23,2,3,2,246,25,16,41,"251,818",96,0,1,0,1,0,0,67,170,23,1
00384,23,2,3,2,291,31,12,40,"251,818",96,0,1,1,1,0,1,73,171,25,1
00385,11,2,4,2,157,27,6,29,"251,818",96,0,1,0,1,1,0,75,185,22,1
00386,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,1
00387,27,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,1
00388,10,2,6,2,246,25,16,41,"251,818",96,0,1,0,1,0,0,67,170,23,1
00389,27,2,4,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,1
00390,27,2,6,2,179,51,18,38,"251,818",96,0,1,0,1,0,0,89,170,31,1
00391,18,3,3,2,118,10,10,37,"244,387",98,0,1,0,0,0,0,83,172,28,1
00392,19,3,4,2,246,25,16,41,"244,387",98,0,1,0,1,0,0,67,170,23,1
00393,28,3,6,2,246,25,16,41,"244,387",98,0,1,0,1,0,0,67,170,23,1
00394,28,3,6,2,260,50,11,36,"244,387",98,0,1,4,1,0,0,65,168,23,1
00395,28,3,2,2,179,51,18,38,"244,387",98,0,1,0,1,0,0,89,170,31,1
00396,22,3,2,2,235,11,14,37,"244,387",98,0,3,1,0,0,1,88,172,29,1
00397,22,3,3,2,179,22,17,40,"244,387",98,0,2,2,0,1,0,63,170,22,1
00398,22,3,3,2,378,49,11,36,"244,387",98,0,1,2,0,1,4,65,174,21,1
00399,28,3,2,2,179,51,18,38,"244,387",98,0,1,0,1,0,0,89,170,31,1
00400,22,3,4,2,361,52,3,28,"244,387",98,0,1,1,1,0,4,80,172,27,1
00401,0,3,4,2,369,17,12,31,"244,387",98,1,1,3,1,0,0,70,169,25,0
00402,21,3,5,2,235,11,14,37,"244,387",98,0,3,1,0,0,1,88,172,29,1
00403,23,3,6,3,118,13,18,50,"244,387",98,0,1,1,1,0,0,98,178,31,1
00404,14,3,3,3,118,13,18,50,"244,387",98,0,1,1,1,0,0,98,178,31,1
00405,13,3,4,3,118,13,18,50,"244,387",98,0,1,1,1,0,0,98,178,31,1
00406,0,3,5,3,235,11,14,37,"244,387",98,1,3,1,0,0,1,88,172,29,0
00407,0,3,5,3,246,25,16,41,"244,387",98,1,1,0,1,0,0,67,170,23,0
00408,0,3,5,3,118,13,18,50,"244,387",98,1,1,1,1,0,0,98,178,31,0
00409,28,3,6,3,179,51,18,38,"244,387",98,0,1,0,1,0,0,89,170,31,1
00410,22,3,6,3,289,36,13,33,"244,387",98,0,1,2,1,0,1,90,172,30,1
00411,19,3,2,3,260,50,11,36,"244,387",98,0,1,4,1,0,0,65,168,23,1
00412,28,3,3,3,246,25,16,41,"244,387",98,0,1,0,1,0,0,67,170,23,1
00413,28,4,4,3,179,51,18,38,"239,409",98,0,1,0,1,0,0,89,170,31,1
00414,28,4,6,3,260,50,11,36,"239,409",98,0,1,4,1,0,0,65,168,23,1
00415,26,4,6,3,330,16,4,28,"239,409",98,0,2,0,0,0,0,84,182,25,1
00416,22,4,2,3,369,17,12,31,"239,409",98,0,1,3,1,0,0,70,169,25,1
00417,26,4,2,3,248,25,14,47,"239,409",98,0,1,2,0,0,1,86,165,32,1
00418,23,4,4,3,330,16,4,28,"239,409",98,0,2,0,0,0,0,84,182,25,1
00419,28,4,4,3,179,51,18,38,"239,409",98,0,1,0,1,0,0,89,170,31,1
00420,23,4,2,3,118,13,18,50,"239,409",98,0,1,1,1,0,0,98,178,31,0
00421,13,4,4,3,118,13,18,50,"239,409",98,0,1,1,1,0,0,98,178,31,1
00422,28,4,6,3,300,26,13,43,"239,409",98,0,1,2,1,1,1,77,175,25,1
00423,28,4,6,3,260,50,11,36,"239,409",98,0,1,4,1,0,0,65,168,23,1
00424,28,4,2,3,179,51,18,38,"239,409",98,0,1,0,1,0,0,89,170,31,1
00425,11,4,4,3,118,10,10,37,"239,409",98,0,1,0,0,0,0,83,172,28,1
00426,13,5,2,3,235,20,13,43,"246,074",99,0,1,1,1,0,0,106,167,38,1
00427,23,5,4,3,248,25,14,47,"246,074",99,0,1,2,0,0,1,86,165,32,1
00428,10,5,2,3,369,17,12,31,"246,074",99,0,1,3,1,0,0,70,169,25,1
00429,23,5,4,3,179,26,9,30,"246,074",99,0,3,0,0,0,0,56,171,19,1
00430,28,5,4,3,179,51,18,38,"246,074",99,0,1,0,1,0,0,89,170,31,1
00431,23,5,5,3,361,52,3,28,"246,074",99,0,1,1,1,0,4,80,172,27,0
00432,28,5,6,3,260,50,11,36,"246,074",99,0,1,4,1,0,0,65,168,23,1
00433,11,5,2,3,179,22,17,40,"246,074",99,0,2,2,0,1,0,63,170,22,1
00434,8,5,2,3,179,22,17,40,"246,074",99,0,2,2,0,1,0,63,170,22,1
00435,18,5,4,3,228,14,16,58,"246,074",99,0,1,2,0,0,1,65,172,22,1
00436,25,5,4,3,225,26,9,28,"246,074",99,0,1,1,0,0,2,69,169,24,1
00437,13,5,6,3,330,16,4,28,"246,074",99,0,2,0,0,0,0,84,182,25,1
00438,25,5,2,3,179,26,9,30,"246,074",99,0,3,0,0,0,0,56,171,19,1
00439,28,5,2,3,118,10,10,37,"246,074",99,0,1,0,0,0,0,83,172,28,0
00440,1,5,2,3,235,11,14,37,"246,074",99,0,3,1,0,0,1,88,172,29,1
00441,23,5,4,3,179,26,9,30,"246,074",99,0,3,0,0,0,0,56,171,19,1
00442,23,6,2,3,118,10,10,37,"253,957",95,0,1,0,0,0,0,83,172,28,1
00443,28,6,2,3,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,1
00444,28,6,3,3,118,10,10,37,"253,957",95,0,1,0,0,0,0,83,172,28,1
00445,23,6,5,3,225,26,9,28,"253,957",95,0,1,1,0,0,2,69,169,24,1
00446,28,6,6,3,260,50,11,36,"253,957",95,0,1,4,1,0,0,65,168,23,1
00447,0,6,6,3,179,51,18,38,"253,957",95,1,1,0,1,0,0,89,170,31,0
00448,13,6,2,3,291,31,12,40,"253,957",95,0,1,1,1,0,1,73,171,25,1
00449,28,6,2,3,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,1
00450,28,6,3,3,246,25,16,41,"253,957",95,0,1,0,1,0,0,67,170,23,1
00451,28,6,2,3,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,1
00452,26,6,3,3,235,20,13,43,"253,957",95,0,1,1,1,0,0,106,167,38,1
00453,28,6,2,1,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,1
00454,23,6,4,1,225,26,9,28,"253,957",95,0,1,1,0,0,2,69,169,24,1
00455,23,6,4,1,118,13,18,50,"253,957",95,0,1,1,1,0,0,98,178,31,1
00456,5,6,4,1,179,51,18,38,"253,957",95,0,1,0,1,0,0,89,170,31,1
00457,21,6,4,1,179,26,9,30,"253,957",95,0,3,0,0,0,0,56,171,19,1
00458,28,6,6,1,246,25,16,41,"253,957",95,0,1,0,1,0,0,67,170,23,1
00459,11,6,3,1,330,16,4,28,"253,957",95,0,2,0,0,0,0,84,182,25,0
00460,13,6,3,1,235,11,14,37,"253,957",95,0,3,1,0,0,1,88,172,29,1
00461,23,7,5,1,179,26,9,30,"230,290",92,0,3,0,0,0,0,56,171,19,1
00462,25,7,5,1,225,26,9,28,"230,290",92,0,1,1,0,0,2,69,169,24,1
00463,13,7,6,1,260,50,11,36,"230,290",92,0,1,4,1,0,0,65,168,23,1
00464,7,7,2,1,268,11,8,33,"230,290",92,0,2,0,0,0,0,79,178,25,1
00465,25,7,6,1,330,16,4,28,"230,290",92,0,2,0,0,0,0,84,182,25,1
00466,26,7,6,1,118,10,10,37,"230,290",92,0,1,0,0,0,0,83,172,28,1
00467,26,7,2,1,260,50,11,36,"230,290",92,0,1,4,1,0,0,65,168,23,1
00468,28,7,3,1,118,10,10,37,"230,290",92,0,1,0,0,0,0,83,172,28,1
00469,15,7,2,1,300,26,13,43,"230,290",92,0,1,2,1,1,1,77,175,25,1
00470,23,7,2,1,235,29,12,48,"230,290",92,0,1,1,0,1,5,88,163,33,0
00471,28,7,3,1,246,25,16,41,"230,290",92,0,1,0,1,0,0,67,170,23,1
00472,9,7,3,1,225,26,9,28,"230,290",92,0,1,1,0,0,2,69,169,24,1
00473,28,7,3,1,179,51,18,38,"230,290",92,0,1,0,1,0,0,89,170,31,0
00474,23,7,6,1,118,13,18,50,"230,290",92,0,1,1,1,0,0,98,178,31,0
00475,22,7,6,1,361,52,3,28,"230,290",92,0,1,1,1,0,4,80,172,27,1
00476,22,7,2,1,289,36,13,33,"230,290",92,0,1,2,1,0,1,90,172,30,1
00477,26,7,2,1,235,20,13,43,"230,290",92,0,1,1,1,0,0,106,167,38,1
00478,28,7,3,1,246,25,16,41,"230,290",92,0,1,0,1,0,0,67,170,23,1
00479,28,7,5,1,291,31,12,40,"230,290",92,0,1,1,1,0,1,73,171,25,0
00480,23,7,5,1,279,5,14,39,"230,290",92,0,1,2,1,1,0,68,168,24,1
00481,25,8,5,1,179,51,18,38,"249,797",93,0,1,0,1,0,0,89,170,31,1
00482,25,8,2,1,179,22,17,40,"249,797",93,0,2,2,0,1,0,63,170,22,0
00483,28,8,3,1,246,25,16,41,"249,797",93,0,1,0,1,0,0,67,170,23,1
00484,28,8,3,1,118,10,10,37,"249,797",93,0,1,0,0,0,0,83,172,28,1
00485,26,8,3,1,289,36,13,33,"249,797",93,0,1,2,1,0,1,90,172,30,1
00486,26,8,3,1,235,20,13,43,"249,797",93,0,1,1,1,0,0,106,167,38,1
00487,28,8,5,1,291,31,12,40,"249,797",93,0,1,1,1,0,1,73,171,25,1
00488,25,8,2,1,179,51,18,38,"249,797",93,0,1,0,1,0,0,89,170,31,1
00489,25,8,3,1,179,22,17,40,"249,797",93,0,2,2,0,1,0,63,170,22,1
00490,23,8,5,1,330,16,4,28,"249,797",93,0,2,0,0,0,0,84,182,25,1
00491,23,8,3,1,235,11,14,37,"249,797",93,0,3,1,0,0,1,88,172,29,1
00492,28,8,3,1,246,25,16,41,"249,797",93,0,1,0,1,0,0,67,170,23,0
00493,28,8,3,1,118,10,10,37,"249,797",93,0,1,0,0,0,0,83,172,28,1
00494,28,8,5,1,291,31,12,40,"249,797",93,0,1,1,1,0,1,73,171,25,1
00495,28,8,2,1,260,50,11,36,"249,797",93,0,1,4,1,0,0,65,168,23,1
00496,28,9,3,1,246,25,16,41,"261,756",87,0,1,0,1,0,0,67,170,23,0
00497,28,9,3,1,246,25,16,41,"261,756",87,0,1,0,1,0,0,67,170,23,0
00498,28,9,3,1,118,10,10,37,"261,756",87,0,1,0,0,0,0,83,172,28,1
00499,23,9,3,1,155,12,14,34,"261,756",87,0,1,2,1,0,0,95,196,25,1
00500,28,9,5,1,291,31,12,40,"261,756",87,0,1,1,1,0,1,73,171,25,1
